Route	page	seq	Line of route	Line of Route/Sector Description	Gauge	Notes							
Kent-Sussex-Wessex	0941	1			W6a	W7	W8	W9	W9Plus	W10	W10A	W12	
Kent-Sussex-Wessex	0941	2	SO110	"Rochester, Fort Pitt Tunnel western portal –
Gillingham"	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0941	3	SO110	Gillingham – Ramsgate via Herne Bay	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0941	4	SO110	"Nine Elms Jn – Linford Street Jn (Waterloo
Curves) (SW100)"	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0941	5	SO110	"Battersea Pier Jn – Factory Jn via Stewarts
Lane Jn"	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0941	6	SO110	"Bickley Jn – Petts Wood Jn Fast Lines and
Slow Lines (SO130)"	Y	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	0941	7	SO110	Fawkham Jn – Southfleet Jn	Y	N	N	N	N	N	N	N	Original link – CTRL
Kent-Sussex-Wessex	0941	8	SO110	Gillingham – NR/Dockyard Boundary	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0941	9	SO130	"Charing Cross / Cannon Street – Lewisham
Courthill Loop Jn South"	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0941	10	SO130	"Lewisham Courthill Loop Jn South – Hither
Green, Lee Spur Jn including access – / from
Grove Park Down Sidings"	Y	Y	Y	N	N	N	N	N	
